Weight_kg,Horsepower,Cylinders,Fuel_Type,Road_Type,Age_years,Mileage_km_per_l
1827,224,3,Petrol,Highway,7,12
764,85,5,Petrol,City,2,13.18
904,175,5,Petrol,City,25,12
2120,112,4,Diesel,Highway,6,17.9
2255,125,6,Petrol,City,8,12
2179,131,3,Diesel,Highway,3,18.17
2447,100,4,Diesel,City,21,12.1
755,92,4,Petrol,City,19,12
1990,83,5,Petrol,Highway,9,13.47
2342,146,4,Diesel,City,1,14.38
1219,98,4,Diesel,Highway,8,19.39
1874,195,5,Petrol,City,6,12
1556,174,4,Diesel,Highway,23,14.16
933,238,4,Diesel,Highway,2,17.23
2265,106,3,Petrol,City,23,12
1568,142,4,Diesel,City,14,13.51
1110,158,5,Petrol,Highway,1,14.32
1916,54,5,Petrol,City,7,12
1643,73,3,Petrol,Highway,11,14.21
881,241,5,Diesel,Highway,16,14.54
1396,108,5,Petrol,Highway,24,12
1624,87,5,Petrol,City,2,12.19
718,210,4,Petrol,City,18,12
1658,59,3,Petrol,Highway,19,13.14
797,214,6,Petrol,City,10,12
1084,175,3,Petrol,City,4,12
2380,60,3,Diesel,City,24,12.53
1682,73,3,Diesel,Highway,3,20.57
1436,137,6,Diesel,Highway,13,16.53
1784,248,6,Diesel,City,6,12
1608,163,5,Petrol,Highway,10,12.36
1290,70,4,Diesel,Highway,8,19.99
1829,197,5,Diesel,Highway,10,15.35
1635,59,5,Diesel,City,2,16.83
1089,224,6,Petrol,Highway,20,12
875,224,5,Petrol,Highway,15,12
1292,192,5,Petrol,City,1,12
841,221,6,Diesel,City,11,12.84
1839,239,3,Petrol,Highway,24,12
1874,183,3,Petrol,City,1,12
2434,115,6,Petrol,Highway,25,12
725,171,4,Diesel,City,22,12.65
816,181,5,Petrol,Highway,16,12.04
1929,72,3,Diesel,City,12,14.92
2420,62,6,Diesel,Highway,12,16.85
1808,208,4,Petrol,Highway,19,12
1662,65,5,Petrol,Highway,13,13.59
1846,90,6,Petrol,Highway,8,13.46
1807,50,6,Petrol,City,2,12.37
1094,160,6,Diesel,Highway,19,15.35
1026,61,5,Diesel,Highway,14,19.04
1801,168,3,Diesel,City,23,12
1518,233,5,Diesel,City,1,13.41
2051,227,5,Petrol,Highway,25,12
1917,69,3,Diesel,City,9,15.5
2475,243,6,Diesel,Highway,19,12
750,85,4,Petrol,City,14,12
983,128,4,Diesel,City,4,16.19
2261,215,3,Petrol,Highway,2,12.06
2436,199,3,Petrol,Highway,10,12
907,157,6,Petrol,Highway,15,12.33
1959,238,4,Diesel,Highway,1,15.88
1345,227,4,Petrol,Highway,11,12
1491,145,6,Petrol,City,16,12
974,108,3,Petrol,City,13,12
1631,69,3,Diesel,City,8,16.09
1964,213,6,Diesel,City,9,12.02
728,175,3,Petrol,Highway,15,12.77
1614,146,5,Diesel,City,25,12
2399,192,3,Diesel,City,5,13.02
1268,111,5,Diesel,City,21,13.1
1975,180,4,Diesel,City,21,12
1981,142,4,Diesel,Highway,22,14.44
1116,140,3,Petrol,Highway,20,12.23
2118,182,6,Diesel,City,18,12
685,172,3,Diesel,City,2,16.16
1798,233,6,Diesel,City,22,12
2425,208,4,Diesel,City,5,12.48
1816,135,4,Petrol,Highway,20,12
910,212,4,Petrol,City,16,12
1742,167,6,Diesel,Highway,16,14.87
1841,248,6,Petrol,City,22,12
1026,247,4,Diesel,Highway,4,16.5
2037,75,3,Diesel,City,20,13.37
713,167,6,Petrol,Highway,22,12
1768,50,5,Petrol,Highway,11,14.03
2161,56,4,Diesel,Highway,20,16.33
2271,213,6,Diesel,City,16,12
902,125,4,Petrol,City,25,12
1343,136,5,Diesel,Highway,23,15.01
1187,202,3,Diesel,Highway,12,16.27
1586,143,5,Petrol,City,6,12
2463,236,3,Petrol,City,16,12
944,110,3,Petrol,Highway,19,13.1
1413,78,6,Diesel,City,11,14.99
1400,144,3,Diesel,Highway,12,17.4
1624,67,3,Petrol,City,4,12.63
1770,90,3,Petrol,City,13,12
1910,196,4,Diesel,Highway,2,16.87
2277,181,6,Diesel,City,19,12
1676,242,6,Diesel,City,11,12
1927,90,3,Petrol,City,1,12.3
1692,172,4,Petrol,Highway,9,12.43
960,192,3,Diesel,Highway,10,17.23
2225,231,6,Diesel,City,3,12.15
1843,241,6,Diesel,Highway,8,14.39
1609,249,6,Diesel,City,16,12
1303,192,6,Petrol,Highway,4,12.78
1174,227,4,Petrol,Highway,11,12
2208,71,5,Petrol,City,8,12
1784,195,5,Petrol,City,7,12
2304,129,4,Petrol,City,20,12
1712,179,3,Diesel,Highway,15,15.52
1287,85,6,Petrol,City,23,12
1380,69,6,Petrol,City,8,12
1184,193,6,Petrol,City,10,12
2380,116,4,Diesel,Highway,19,14.96
1188,169,4,Diesel,Highway,5,18.18
1782,207,6,Petrol,Highway,3,12.08
1088,104,6,Petrol,City,7,12
1570,115,3,Petrol,City,6,12
1947,75,5,Petrol,Highway,17,12.46
2233,234,4,Diesel,City,10,12
2004,246,5,Petrol,Highway,21,12
1725,179,6,Petrol,Highway,20,12
1093,105,5,Petrol,Highway,15,13.25
2267,239,5,Petrol,Highway,2,12
2237,83,4,Diesel,Highway,1,19.38
618,105,4,Petrol,City,12,12
2077,104,3,Petrol,City,13,12
2105,69,6,Petrol,Highway,12,12.92
2217,99,3,Petrol,City,12,12
996,202,4,Petrol,Highway,7,12.92
1600,133,3,Diesel,City,7,14.98
1902,202,5,Diesel,Highway,6,15.8
1450,102,5,Petrol,City,13,12
1988,191,4,Diesel,Highway,21,13.6
1954,237,5,Petrol,Highway,9,12
2264,160,6,Petrol,Highway,16,12
1967,220,4,Petrol,Highway,2,12.12
1421,239,6,Petrol,Highway,11,12
1054,161,4,Petrol,City,3,12
2224,118,4,Petrol,Highway,9,12.76
1324,240,5,Diesel,City,12,12
2278,51,4,Petrol,Highway,2,14.93
1688,231,4,Diesel,Highway,19,13.47
1699,65,3,Diesel,City,6,16.42
1310,232,5,Diesel,Highway,23,13.03
742,143,6,Petrol,Highway,18,12.31
1516,220,4,Petrol,Highway,13,12
1427,238,6,Petrol,Highway,14,12
1204,215,3,Petrol,Highway,8,12.48
2096,94,4,Petrol,Highway,9,13.35
2040,175,6,Diesel,City,13,12.09
904,228,5,Diesel,Highway,17,14.64
1335,219,3,Petrol,City,6,12
2120,73,3,Diesel,Highway,20,16.29
890,164,6,Diesel,Highway,10,17.26
701,207,4,Petrol,City,11,12
1890,214,4,Petrol,City,10,12
1466,172,5,Petrol,Highway,21,12
1567,230,5,Diesel,City,6,12.73
2245,240,4,Diesel,Highway,6,14.62
1573,188,3,Diesel,Highway,15,15.51
1441,127,5,Diesel,Highway,7,18.2
1561,200,5,Diesel,City,25,12
1541,166,3,Diesel,City,12,13.59
2400,129,4,Diesel,City,20,12
1626,99,6,Petrol,City,9,12
684,134,5,Diesel,Highway,1,20.48
2417,232,3,Petrol,City,25,12
927,232,5,Petrol,City,24,12
1415,53,3,Diesel,City,16,15.29
2073,231,5,Diesel,Highway,18,12.96
1053,110,4,Petrol,Highway,23,12.15
1228,160,3,Diesel,Highway,7,18.24
1844,127,6,Petrol,City,18,12
1777,132,6,Diesel,Highway,8,17.07
1264,182,5,Diesel,Highway,22,14.32
611,149,6,Petrol,Highway,15,12.79
1756,195,5,Petrol,City,6,12
903,221,3,Petrol,City,21,12
1916,80,3,Petrol,Highway,12,13.57
1574,168,6,Diesel,Highway,15,15.26
1923,143,6,Petrol,Highway,24,12
2363,198,4,Petrol,Highway,15,12
1382,224,3,Petrol,Highway,10,12
642,79,6,Diesel,City,9,16.36
1543,104,6,Diesel,Highway,14,16.94
942,154,6,Petrol,Highway,21,12
1949,245,5,Diesel,Highway,14,13.44
2437,246,4,Petrol,City,17,12
1097,90,3,Diesel,City,11,15.89
963,222,6,Petrol,Highway,6,12.3
1490,123,6,Petrol,City,12,12
1026,207,6,Diesel,City,17,12.04
1604,126,5,Petrol,City,5,12
620,134,3,Petrol,Highway,6,15.12
1006,222,6,Petrol,Highway,3,12.65
1218,153,6,Diesel,Highway,1,18.75
1614,222,5,Diesel,Highway,18,13.72
935,128,5,Petrol,Highway,14,13.17
2438,133,4,Petrol,City,12,12
1740,222,4,Petrol,City,12,12
1747,232,3,Diesel,City,11,12.19
998,236,4,Petrol,Highway,19,12
1392,182,3,Petrol,City,3,12
2427,173,4,Petrol,Highway,2,12.47
1314,81,6,Diesel,Highway,22,16.16
650,55,4,Petrol,City,7,13.33
2406,143,6,Diesel,City,21,12
923,75,3,Petrol,Highway,23,13.07
1388,86,4,Petrol,City,12,12
740,62,4,Petrol,City,19,12
1069,142,4,Diesel,City,21,12.97
1386,246,6,Petrol,Highway,13,12
2425,74,6,Petrol,Highway,19,12
1957,190,4,Petrol,City,4,12
1563,69,3,Diesel,City,22,13.73
1607,121,6,Petrol,Highway,12,12.63
972,237,5,Petrol,Highway,4,12.45
2187,250,3,Petrol,Highway,13,12
1093,198,3,Diesel,Highway,20,15.01
2162,164,3,Diesel,City,7,13.6
2292,176,6,Diesel,Highway,6,15.59
1350,238,4,Diesel,Highway,12,14.92
1779,75,4,Diesel,City,12,14.84
890,103,5,Petrol,City,16,12
2271,219,4,Diesel,City,13,12
1767,188,5,Diesel,Highway,17,14.43
705,214,5,Diesel,Highway,8,16.88
2043,174,4,Diesel,City,1,14.21
1269,60,5,Diesel,Highway,12,19.1
2281,76,3,Diesel,Highway,25,14.98
601,143,3,Petrol,Highway,20,12.72
1188,132,3,Petrol,City,7,12
1243,83,6,Diesel,City,21,13.42
689,87,5,Diesel,Highway,12,19.39
1968,238,5,Diesel,Highway,19,12.78
949,136,3,Diesel,Highway,13,18.09
2082,230,6,Petrol,Highway,24,12
1886,114,4,Diesel,Highway,10,17.48
1974,180,3,Petrol,City,2,12
1731,244,6,Petrol,City,3,12
2209,205,4,Petrol,Highway,12,12
1662,191,6,Petrol,City,5,12
1508,101,4,Diesel,Highway,5,19.44
758,79,5,Petrol,Highway,5,15.78
2206,235,5,Diesel,Highway,7,14.42
1558,231,6,Diesel,City,8,12.26
911,246,6,Petrol,City,24,12
1864,162,4,Petrol,City,19,12
1044,192,6,Petrol,City,24,12
897,215,6,Diesel,City,16,12.17
1551,191,4,Petrol,City,10,12
635,234,4,Diesel,Highway,13,15.79
1707,236,5,Diesel,Highway,2,15.89
2075,57,3,Diesel,Highway,4,20.03
2398,121,6,Diesel,Highway,2,17.4
2445,196,4,Petrol,City,21,12
2008,81,5,Petrol,City,3,12
1795,144,3,Petrol,Highway,10,12.87
1999,206,6,Petrol,City,11,12
2308,90,5,Petrol,City,3,12
1985,124,3,Petrol,City,5,12
1158,94,6,Diesel,City,20,13.49
1490,62,5,Petrol,City,6,12.22
740,204,6,Diesel,City,21,12
1486,68,3,Diesel,Highway,13,18.9
1741,203,4,Diesel,City,5,13.42
1900,102,5,Diesel,City,3,15.37
1325,228,3,Petrol,Highway,20,12
1843,214,6,Petrol,Highway,12,12
1649,186,3,Diesel,Highway,3,17.63
1120,229,3,Diesel,Highway,19,14.44
2406,231,4,Petrol,Highway,15,12
609,52,5,Diesel,Highway,10,20.88
1583,145,3,Petrol,Highway,25,12
977,246,4,Diesel,Highway,6,16.25
2256,185,4,Diesel,Highway,16,14.23
2260,63,4,Petrol,City,15,12
1281,169,6,Petrol,City,2,12
1183,180,4,Petrol,Highway,17,12
751,201,4,Petrol,Highway,16,12
1319,62,4,Petrol,Highway,3,15.93
1672,220,4,Petrol,City,19,12
1777,206,5,Petrol,Highway,4,12.17
1458,121,5,Diesel,City,20,12.87
1916,228,4,Petrol,City,5,12
2203,219,3,Diesel,City,13,12
649,208,6,Petrol,City,20,12
1263,240,3,Petrol,Highway,2,12.71
1130,203,3,Diesel,Highway,12,16.33
2235,195,4,Diesel,Highway,17,13.88
1683,131,3,Diesel,Highway,10,17.66
1790,106,5,Diesel,Highway,23,15.02
1825,56,5,Petrol,City,9,12
1456,161,6,Petrol,City,9,12
745,97,5,Petrol,Highway,17,13.48
1514,129,5,Petrol,City,9,12
2299,168,4,Petrol,City,14,12
1592,169,5,Diesel,Highway,17,15.09
2062,109,3,Petrol,City,17,12
841,82,3,Petrol,City,2,13.55
1180,164,5,Diesel,Highway,15,16.15
1286,177,6,Diesel,City,11,13.21
2184,52,6,Diesel,Highway,22,15.48
1082,53,6,Petrol,City,25,12
1731,149,5,Diesel,City,5,14.33
1849,53,6,Diesel,Highway,9,18.62
1272,91,5,Diesel,City,9,15.5
1230,58,3,Diesel,City,14,15.81
1260,100,6,Diesel,Highway,8,18.68
1261,194,6,Petrol,City,11,12
2055,194,6,Petrol,City,12,12
1404,146,3,Diesel,Highway,7,18.33
2278,69,5,Diesel,Highway,3,18.96
1018,191,3,Diesel,City,3,15.12
1587,71,3,Diesel,City,14,15.06
2078,229,4,Diesel,Highway,4,15.45
1783,76,6,Diesel,City,25,12.24
2146,92,5,Petrol,Highway,14,12.39
1249,180,5,Diesel,City,14,12.95
1568,143,4,Diesel,Highway,3,18.63
1189,57,4,Diesel,Highway,13,19.39
1700,135,3,Diesel,Highway,8,17.93
1108,138,4,Petrol,Highway,24,12
1040,187,5,Diesel,City,6,14.27
1877,162,5,Petrol,City,2,12
1520,206,5,Diesel,Highway,6,16.27
1369,217,3,Diesel,Highway,20,14.22
1943,242,6,Diesel,Highway,14,13.3
2426,70,6,Diesel,City,7,14.39
862,201,3,Petrol,Highway,17,12
2220,250,5,Diesel,City,3,12
2281,237,5,Petrol,City,14,12
2458,203,3,Petrol,Highway,24,12
2177,58,3,Diesel,City,1,16.69
1997,197,4,Petrol,City,12,12
1236,233,3,Petrol,Highway,3,12.75
1790,85,6,Diesel,City,19,13.06
2376,85,3,Diesel,Highway,12,17.21
1058,122,5,Diesel,City,24,12.65
1598,199,5,Diesel,Highway,14,14.94
1903,50,5,Diesel,City,1,16.78
1299,118,6,Diesel,City,5,15.32
901,250,6,Petrol,City,7,12
2154,86,4,Diesel,Highway,20,15.72
2203,121,3,Petrol,City,19,12
1841,156,4,Diesel,City,6,14.11
1725,145,3,Petrol,City,21,12
1153,190,3,Petrol,Highway,18,12
887,133,6,Petrol,Highway,6,14.14
1790,92,5,Diesel,Highway,11,17.68
1220,86,3,Petrol,City,3,12.91
1605,74,6,Diesel,City,9,15.14
635,198,4,Petrol,Highway,3,13.98
1343,218,5,Diesel,Highway,25,12.94
2364,122,4,Diesel,City,6,14.09
952,219,4,Petrol,City,24,12
2299,91,6,Diesel,City,9,13.87
672,51,5,Diesel,Highway,8,21.26
1247,245,3,Diesel,City,2,13.74
1976,185,4,Petrol,Highway,19,12
1693,145,3,Diesel,Highway,24,14.61
1024,110,5,Diesel,Highway,16,17.45
1598,63,6,Petrol,Highway,5,14.73
1307,162,6,Petrol,City,10,12
2404,126,6,Diesel,Highway,20,14.1
1160,70,3,Petrol,City,22,12
1427,201,3,Diesel,Highway,12,15.95
2265,227,5,Petrol,Highway,12,12
1555,222,3,Petrol,Highway,6,12.23
1116,241,6,Petrol,Highway,14,12
1027,113,4,Petrol,City,7,12
2162,203,4,Diesel,City,21,12
759,209,4,Petrol,City,1,12
748,106,6,Diesel,City,14,14.79
1375,168,3,Diesel,Highway,15,16.27
1853,230,4,Diesel,City,13,12
2335,210,3,Petrol,City,24,12
2185,101,3,Petrol,Highway,1,14.48
666,144,6,Petrol,Highway,20,12.07
1613,195,3,Petrol,Highway,19,12
2435,212,3,Diesel,City,19,12
980,189,6,Petrol,City,6,12
657,228,5,Diesel,Highway,24,13.69
1882,138,4,Petrol,City,5,12
941,59,4,Petrol,Highway,22,13.29
2461,101,3,Diesel,Highway,22,14.81
1753,83,5,Petrol,City,17,12
1326,164,6,Petrol,Highway,15,12
1795,244,3,Diesel,City,7,12.43
1369,216,6,Petrol,Highway,17,12
1213,185,4,Diesel,Highway,12,16.41
1832,174,6,Diesel,Highway,7,16.16
2426,206,4,Petrol,Highway,13,12
953,199,6,Diesel,City,8,13.6
2094,247,6,Diesel,Highway,4,14.52
2421,238,5,Petrol,Highway,8,12
715,92,6,Petrol,City,22,12
1887,226,3,Petrol,Highway,16,12
1261,78,5,Diesel,City,16,14.56
2435,155,3,Diesel,City,22,12
2065,169,6,Petrol,City,11,12
2171,130,6,Diesel,Highway,9,16.31
1052,80,5,Diesel,City,22,13.74
2468,230,4,Petrol,Highway,11,12
2100,211,5,Petrol,City,5,12
886,177,4,Petrol,City,10,12
1926,87,4,Diesel,City,6,15.4
1616,234,6,Diesel,Highway,16,13.57
910,150,3,Petrol,City,12,12
807,181,5,Diesel,City,8,14.37
1217,179,5,Petrol,Highway,25,12
1045,61,6,Petrol,City,13,12
1269,84,6,Petrol,City,13,12
1232,247,5,Diesel,City,16,12
654,159,5,Diesel,Highway,11,17.82
1511,121,3,Diesel,City,24,12.54
1635,198,6,Diesel,Highway,8,15.7
1256,159,3,Diesel,Highway,23,15.09
2023,110,6,Diesel,Highway,13,16.26
2271,212,6,Petrol,City,1,12
1579,97,3,Petrol,City,20,12
1114,192,4,Petrol,Highway,20,12
2279,120,4,Petrol,Highway,19,12
2165,192,4,Diesel,Highway,4,16.23
836,183,6,Petrol,City,2,12
1902,117,3,Petrol,City,19,12
947,71,4,Petrol,City,19,12
1226,81,5,Diesel,Highway,10,19.09
1727,172,4,Petrol,Highway,17,12
1229,71,3,Petrol,Highway,23,12.79
2140,204,6,Petrol,City,20,12
2495,159,3,Petrol,City,8,12
1871,64,6,Diesel,City,9,14.96
963,173,3,Diesel,Highway,18,16.15
920,93,3,Petrol,City,2,13.27
2256,164,5,Petrol,City,18,12
885,58,4,Diesel,Highway,8,21.02
748,83,4,Diesel,City,2,17.92
1707,122,3,Diesel,City,22,12.63
1005,192,4,Diesel,City,16,12.89
1577,239,5,Petrol,City,5,12
1055,94,3,Diesel,Highway,10,19.64
2366,121,4,Petrol,Highway,9,12.54
1399,107,4,Diesel,Highway,2,20.08
1784,164,6,Petrol,Highway,16,12
1612,68,4,Diesel,City,16,14.52
1383,65,4,Petrol,Highway,17,13.5
1059,124,6,Diesel,Highway,2,19.6
2173,155,3,Diesel,Highway,5,17.21
2123,185,3,Petrol,Highway,8,12.02
1337,210,5,Petrol,City,24,12
1108,123,6,Diesel,Highway,2,19.55
2277,67,3,Petrol,City,12,12
2427,212,4,Petrol,City,13,12
1080,92,4,Diesel,City,16,14.75
2286,99,4,Diesel,Highway,5,18.12
713,52,5,Diesel,City,12,16.53
1348,108,3,Petrol,Highway,15,13.31
2201,77,6,Diesel,Highway,2,18.81
960,95,3,Diesel,City,12,15.79
940,113,6,Petrol,City,23,12
1369,119,6,Petrol,City,10,12
1360,96,3,Diesel,City,8,15.92
1568,191,4,Petrol,City,21,12
1048,184,4,Petrol,City,11,12
2466,208,6,Diesel,Highway,12,13.67
1434,155,4,Petrol,Highway,17,12
1803,130,5,Petrol,City,7,12
2325,100,5,Petrol,Highway,15,12
2030,78,6,Diesel,Highway,19,15.78
2289,162,4,Petrol,Highway,2,12.84
1819,192,6,Diesel,Highway,6,15.92
2089,177,5,Diesel,Highway,2,16.81
910,139,5,Petrol,City,14,12
861,74,5,Diesel,City,8,16.6
2042,238,3,Diesel,Highway,16,13.57
1005,90,5,Diesel,Highway,19,17.31
742,118,4,Petrol,City,18,12
941,53,3,Diesel,City,24,14.42
1939,154,5,Diesel,Highway,13,15.65
1724,234,4,Diesel,City,6,12.66
843,80,5,Diesel,City,4,17.21
1089,180,4,Diesel,Highway,21,15
611,166,4,Diesel,Highway,10,18.17
1862,244,5,Diesel,City,15,12
1160,139,5,Petrol,Highway,23,12
641,227,3,Petrol,Highway,12,12.29
1277,194,5,Petrol,Highway,20,12
1193,237,4,Diesel,Highway,12,15.15
2052,115,6,Diesel,City,7,14.06
2426,137,3,Petrol,Highway,6,12.79
1781,73,4,Diesel,City,5,16.06
1839,148,4,Diesel,Highway,19,15.07
2293,209,6,Petrol,Highway,14,12
2085,154,5,Diesel,Highway,1,17.57
733,68,4,Petrol,Highway,24,13.03
1690,115,6,Petrol,Highway,11,12.78
2471,109,6,Diesel,Highway,23,13.8
1630,164,5,Petrol,Highway,22,12
1547,243,6,Diesel,Highway,4,15.38
2149,64,6,Diesel,City,21,12.65
672,134,6,Petrol,City,14,12
998,212,6,Diesel,City,21,12
2028,246,6,Diesel,City,18,12
2298,204,6,Petrol,City,6,12
1177,137,4,Diesel,Highway,5,19.05
1458,56,3,Diesel,Highway,17,18.36
729,55,5,Petrol,Highway,25,12.87
1530,174,3,Diesel,Highway,7,17.4
2089,82,5,Diesel,City,11,14.23
1829,107,3,Diesel,City,14,14.05
2411,226,5,Petrol,City,2,12
2391,194,6,Petrol,City,22,12
865,159,3,Petrol,Highway,17,12.62
2160,91,3,Diesel,Highway,2,19.41
1392,143,5,Petrol,Highway,15,12.25
852,249,5,Petrol,City,7,12
1421,217,4,Petrol,City,3,12
1912,223,6,Petrol,Highway,23,12
763,248,6,Diesel,Highway,6,15.99
694,247,4,Petrol,Highway,21,12
2405,245,5,Diesel,City,9,12
1432,178,6,Petrol,City,10,12
1733,128,5,Diesel,Highway,21,15.03
935,144,6,Petrol,City,21,12
1421,160,3,Diesel,Highway,8,17.74
837,146,3,Petrol,Highway,7,14.44
980,229,6,Diesel,Highway,1,17.06
2059,212,6,Petrol,City,10,12
1498,168,6,Diesel,City,18,12.11
1082,118,4,Petrol,City,16,12
1501,182,6,Diesel,City,4,13.88
1648,194,4,Petrol,City,9,12
2276,230,4,Diesel,Highway,23,12.14
1740,101,3,Petrol,Highway,18,12.51
1081,191,6,Petrol,City,11,12
2015,171,3,Petrol,City,12,12
1516,78,3,Diesel,Highway,8,19.68
1593,185,4,Petrol,City,1,12
1563,153,5,Petrol,City,8,12
1136,50,4,Petrol,City,5,13.14
1702,78,3,Diesel,City,1,17.01
2203,213,4,Diesel,Highway,3,15.82
1796,228,4,Petrol,City,13,12
1635,214,4,Petrol,Highway,16,12
2423,118,6,Diesel,City,23,12
727,102,4,Diesel,City,12,15.72
2231,173,3,Diesel,Highway,7,16.32
691,229,4,Petrol,Highway,8,12.57
2276,137,6,Petrol,City,11,12
1142,132,3,Diesel,Highway,13,17.89
1445,61,4,Petrol,Highway,11,14.47
2155,101,3,Diesel,Highway,4,18.78
2281,178,6,Diesel,City,6,12.71
1588,184,5,Diesel,City,23,12
2451,194,6,Diesel,City,24,12
1046,176,6,Petrol,City,19,12
989,220,3,Diesel,Highway,21,14.45
1271,120,3,Petrol,City,8,12
2484,66,5,Petrol,City,6,12
642,236,5,Diesel,City,17,12.07
853,52,5,Petrol,Highway,18,13.98
1753,78,6,Petrol,Highway,3,14.54
1683,71,6,Petrol,City,12,12
1262,215,5,Diesel,Highway,15,14.84
1066,103,5,Diesel,Highway,7,19.43
886,156,5,Diesel,City,13,14.01
1610,227,4,Petrol,Highway,10,12
2140,118,4,Petrol,Highway,19,12
2090,207,5,Diesel,City,9,12.18
1377,200,6,Petrol,City,25,12
944,169,3,Diesel,Highway,12,17.46
1241,96,6,Diesel,City,11,14.86
981,198,3,Diesel,Highway,24,14.39
2402,69,5,Petrol,Highway,25,12
1289,200,4,Petrol,City,8,12
1876,245,4,Diesel,Highway,9,14.54
1679,198,3,Diesel,Highway,4,17.09
2086,70,5,Diesel,Highway,20,15.91
1056,50,4,Petrol,City,5,13.23
1582,192,5,Diesel,Highway,7,16.35
682,66,5,Diesel,Highway,9,20.62
1722,100,3,Petrol,Highway,4,14.69
748,240,5,Petrol,City,23,12
1952,63,5,Petrol,City,12,12
1779,108,3,Diesel,City,12,14.43
789,132,4,Petrol,Highway,6,14.72
2117,99,6,Diesel,City,13,13.35
1482,173,5,Diesel,City,9,13.56
862,83,3,Diesel,Highway,25,16.88
1703,55,4,Petrol,City,9,12
999,158,5,Diesel,Highway,21,15.38
1363,98,6,Petrol,Highway,3,14.68
1208,55,4,Petrol,Highway,13,14.55
1883,166,3,Petrol,Highway,6,12.92
2395,167,5,Diesel,Highway,18,13.86
2238,246,3,Petrol,City,23,12
2175,56,6,Diesel,Highway,14,17
1384,146,6,Diesel,Highway,23,14.52
700,228,3,Petrol,Highway,2,13.6
1982,167,5,Diesel,Highway,6,16.53
2003,178,3,Petrol,Highway,20,12
1419,190,4,Petrol,Highway,7,12.67
1844,220,3,Petrol,Highway,8,12
1419,76,6,Petrol,City,10,12
1019,248,5,Diesel,City,13,12.01
723,165,5,Petrol,City,1,12
1021,180,6,Diesel,Highway,5,17.6
1854,107,6,Diesel,City,25,12
2313,138,4,Petrol,City,2,12
1686,146,6,Diesel,Highway,4,17.61
2108,66,6,Petrol,City,24,12
2251,222,6,Petrol,Highway,12,12
2326,150,5,Petrol,Highway,5,12.43
2197,235,6,Diesel,Highway,24,12
1367,233,3,Petrol,Highway,15,12
1082,231,3,Diesel,City,10,13.1
1118,78,5,Petrol,Highway,17,13.38
754,151,4,Diesel,City,14,14.32
691,172,4,Petrol,City,7,12
1581,103,5,Diesel,Highway,22,15.57
2149,76,3,Petrol,City,2,12.14
1054,151,5,Diesel,Highway,23,15.07
2364,166,6,Petrol,Highway,3,12.16
1197,153,5,Diesel,Highway,4,18.5
2268,94,4,Petrol,City,16,12
1109,163,3,Diesel,Highway,16,16.58
1806,136,4,Petrol,City,22,12
985,80,4,Petrol,City,3,13.08
2197,213,3,Petrol,Highway,17,12
2354,238,6,Diesel,Highway,17,12.43
1004,86,3,Diesel,City,22,14.11
845,244,3,Petrol,City,20,12
1341,85,5,Diesel,Highway,7,19.42
2214,168,3,Petrol,Highway,25,12
1260,54,5,Petrol,Highway,8,15.1
1249,223,4,Petrol,Highway,19,12
2094,101,3,Diesel,Highway,7,18.3
2449,98,6,Petrol,City,1,12
2046,55,5,Diesel,City,16,13.96
1500,172,5,Diesel,City,18,12.22
664,187,6,Petrol,Highway,25,12
1636,167,5,Diesel,Highway,8,16.71
812,72,5,Diesel,Highway,7,20.68
841,194,6,Diesel,Highway,10,16.58
1092,159,4,Petrol,City,2,12
1836,93,3,Petrol,City,15,12
2316,90,3,Diesel,City,14,13.72
937,192,3,Diesel,City,2,15.35
772,221,3,Petrol,Highway,7,12.97
1271,235,3,Petrol,City,23,12
763,99,3,Diesel,Highway,22,17.33
1064,101,5,Petrol,City,12,12
1594,119,3,Petrol,City,5,12
1096,245,5,Diesel,Highway,6,15.87
1299,240,6,Petrol,Highway,16,12
994,235,4,Diesel,Highway,12,15.47
1302,200,5,Diesel,Highway,9,16.21
907,221,4,Diesel,City,20,12
2391,158,6,Diesel,Highway,12,14.84
782,167,3,Petrol,City,10,12
1228,158,4,Petrol,City,17,12
2417,144,4,Petrol,City,25,12
1109,93,6,Petrol,City,24,12
2331,229,6,Diesel,Highway,11,13.55
1145,116,6,Petrol,Highway,18,12.35
2187,205,5,Diesel,City,4,12.77
1223,116,5,Diesel,City,3,16.04
2387,67,4,Diesel,Highway,19,15.95
1193,204,6,Petrol,Highway,6,12.4
1343,228,4,Diesel,City,23,12
1850,109,3,Diesel,City,8,14.96
2368,123,6,Petrol,City,7,12
2356,98,5,Diesel,Highway,15,15.88
2059,64,6,Petrol,Highway,12,13.06
2045,122,4,Petrol,City,15,12
1153,245,5,Diesel,City,9,12.48
620,192,3,Diesel,City,2,15.77
1153,228,3,Petrol,City,20,12
996,97,4,Petrol,City,15,12
1224,121,6,Diesel,City,18,13.26
704,162,3,Diesel,Highway,13,17.8
791,178,4,Diesel,Highway,16,16.41
616,184,5,Diesel,Highway,15,16.45
1743,102,5,Diesel,Highway,11,17.53
992,208,4,Diesel,Highway,3,17.8
1024,67,6,Diesel,City,10,15.91
728,61,6,Diesel,Highway,17,18.56
1753,97,6,Diesel,City,8,14.65
1171,79,6,Diesel,Highway,5,19.99
2183,146,4,Petrol,City,21,12
628,56,4,Petrol,City,8,13.19
